Data_Registro;Sexo;Media_Atual;Ano_Anterior;Faculdade_Categoria;Media_2023;Status_Alojamento_2023;Subsidio_2023;Bolsa_Estudo_2023;Horas_Estudo_Adicionais;Frequencia_Festa;Consumo_Alcool;Aulas_Faltas_Alcool;Modulos_Reprovados;Relacionamento_Romantico;Aprovacao_Pais_Alcool;Relacionamento_Pais;Timestamp_Date;Timestamp_Time;AVG_Studying_Hours;AVG_Consumo_Alcool
2024/03/07 5:12:01 pm EET;Female;76;2nd Year;Arts & Social Sciences;72;Private accommodation/ stay with family/friends;R 4001- R 5000;No;8;Only weekends;8;3;0;Yes;Yes;"Very close";2024-03-07;17:12:01.0000000;8;8
2024/03/07 5:12:08 pm EET;Male;89;2nd Year;Economic & Management Sciences;75;Private accommodation/ stay with family/friends;R 7001 - R 8000;Yes (NSFAS, etc...);8;Only weekends;3-5;4;0;No;Yes;"Very close";2024-03-07;17:12:08.0000000;8;4
2024/03/07 5:12:25 pm EET;Male;76;1st Year;AgriSciences;55;Private accommodation/ stay with family/friends;R 4001- R 5000;No;3-5;2;8;3;0;No;Yes;"Very close";2024-03-07;17:12:25.0000000;4;8
2024/03/07 5:12:28 pm EET;Male;89;2nd Year;Engineering;84;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;3-5;3;8;2;0;Yes;Yes;"Very close";2024-03-07;17:12:28.0000000;4;8
2024/03/07 5:13:00 pm EET;Female;74;2nd Year;Arts & Social Sciences;52;Private accommodation/ stay with family/friends;R 4001- R 5000;No;3-5;Only weekends;5-8;1;3;No;Yes;"Fair";2024-03-07;17:13:00.0000000;4;6,5
2024/03/07 5:13:18 pm EET;Male;83;;Engineering;;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;8;4;3-5;3;1;Yes;Yes;"Very close";2024-03-07;17:13:18.0000000;8;4
2024/03/07 5:13:22 pm EET;Male;80;2nd Year;Economic & Management Sciences;54;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;8;2;5-8;1;0;No;Yes;"Very close";2024-03-07;17:13:22.0000000;8;6,5
2024/03/07 5:13:26 pm EET;Female;85;2nd Year;Arts & Social Sciences;75;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;3-5;3;3-5;2;0;Yes;Yes;"Very close";2024-03-07;17:13:26.0000000;4;4
2024/03/07 5:13:28 pm EET;Male;89;;Engineering;;;R 5001 - R 6000;No;8;Only weekends;3-5;0;;No;Yes;"Very close";2024-03-07;17:13:28.0000000;8;4
2024/03/07 5:13:35 pm EET;Male;83;;Science;;;R 6001 - R 7000;No;3-5;3;5-8;4;0;No;Yes;"Close";2024-03-07;17:13:35.0000000;4;6,5
2024/03/07 5:14:04 pm EET;Female;75;;AgriSciences;;;R 4001- R 5000;No;5-8;2;5-8;0;0;No;Yes;"Close";2024-03-07;17:14:04.0000000;6,5;6,5
2024/03/07 5:14:06 pm EET;Female;80;2nd Year;Arts & Social Sciences;75;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;8;3;8;0;0;No;Yes;"Close";2024-03-07;17:14:06.0000000;8;8
2024/03/07 5:14:08 pm EET;Male;79;2nd Year;Economic & Management Sciences;64;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;3-5;2;3-5;2;4;No;Yes;"Very close";2024-03-07;17:14:08.0000000;4;4
2024/03/07 5:14:10 pm EET;Female;72;2nd Year;Economic & Management Sciences;76;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;1-3;1;3-5;0;0;Yes;Yes;"Very close";2024-03-07;17:14:10.0000000;2;4
2024/03/07 5:14:35 pm EET;Male;78;;Science;;;;;3-5;2;5-8;0;0;No;Yes;"Very close";2024-03-07;17:14:35.0000000;4;6,5
2024/03/07 5:14:43 pm EET;Female;87;1st Year;Science;75;Private accommodation/ stay with family/friends;R 4001- R 5000;No;8;Only weekends;1-3;0;0;No;Yes;"Very close";2024-03-07;17:14:43.0000000;8;2
2024/03/07 5:14:50 pm EET;Female;86;;Engineering;;Private accommodation/ stay with family/friends;;No;3-5;1;3-5;0;0;No;Yes;"Fair";2024-03-07;17:14:50.0000000;4;4
2024/03/07 5:14:51 pm EET;Male;74;1st Year;Economic & Management Sciences;65;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;1-3;4;5-8;0;0;Yes;Yes;"Very close";2024-03-07;17:14:51.0000000;2;6,5
2024/03/07 5:15:05 pm EET;Female;83;;Medicine and Health Services;;Private accommodation/ stay with family/friends;;No;8;Only weekends;1-3;0;0;Yes;Yes;"Very close";2024-03-07;17:15:05.0000000;8;2
2024/03/07 5:15:08 pm EET;Male;69;2nd Year;Arts & Social Sciences;55;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;5-8;Only weekends;5-8;3;3;No;Yes;"Very close";2024-03-07;17:15:08.0000000;6,5;6,5
2024/03/07 5:15:13 pm EET;Male;79;2nd Year;Economic & Management Sciences;54;Non-private accommodation ie. Res;R 5001 - R 6000;No;5-8;2;0;0;1;No;Yes;"Fair";2024-03-07;17:15:13.0000000;6,5;0
2024/03/07 5:15:43 pm EET;Male;80;2nd Year;Engineering;62;Private accommodation/ stay with family/friends;R 4001- R 5000;Yes (NSFAS, etc...);8;Only weekends;5-8;0;2;No;Yes;"Very close";2024-03-07;17:15:43.0000000;8;6,5
2024/03/07 5:15:47 pm EET;Female;73;2nd Year;Arts & Social Sciences;;Private accommodation/ stay with family/friends;;No;1-3;Only weekends;1-3;0;2;No;No;"Very close";2024-03-07;17:15:47.0000000;2;2
2024/03/07 5:16:06 pm EET;Female;83;2nd Year;Law;55;Private accommodation/ stay with family/friends;R 4001- R 5000;No;1-3;Only weekends;3-5;2;4;No;Yes;"Very close";2024-03-07;17:16:06.0000000;2;4
2024/03/07 5:16:35 pm EET;Female;78;1st Year;Economic & Management Sciences;76;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;8;2;3-5;2;0;No;Yes;"Very close";2024-03-07;17:16:35.0000000;8;4
2024/03/07 5:16:56 pm EET;Male;74;2nd Year;Arts & Social Sciences;65;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;3-5;2;8;2;2;No;Yes;"Very close";2024-03-07;17:16:56.0000000;4;8
2024/03/07 5:17:06 pm EET;Male;83;3rd Year;Engineering;69;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;8;Only weekends;3-5;0;0;Yes;Yes;"Very close";2024-03-07;17:17:06.0000000;8;4
2024/03/07 5:17:09 pm EET;Male;79;2nd Year;Engineering;60;Private accommodation/ stay with family/friends;R 8000+;No;5-8;Only weekends;8;1;3;No;Yes;"Very close";2024-03-07;17:17:09.0000000;6,5;8
2024/03/07 5:17:22 pm EET;Female;83;2nd Year;Economic & Management Sciences;55;Non-private accommodation ie. Res;R 5001 - R 6000;No;8;Only weekends;1-3;0;1;No;Yes;"Very close";2024-03-07;17:17:22.0000000;8;2
2024/03/07 5:17:28 pm EET;Female;79;1st Year;Economic & Management Sciences;74;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;3-5;3;5-8;0;0;No;Yes;"Very close";2024-03-07;17:17:28.0000000;4;6,5
2024/03/07 5:17:39 pm EET;Male;87;2nd Year;Engineering;70;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;8;1;5-8;0;0;No;Yes;"Very close";2024-03-07;17:17:39.0000000;8;6,5
2024/03/07 5:18:18 pm EET;Male;84;1st Year;Engineering;60;Private accommodation/ stay with family/friends;R 4001- R 5000;No;8;Only weekends;5-8;0;0;No;Yes;"Very close";2024-03-07;17:18:18.0000000;8;6,5
2024/03/07 5:18:41 pm EET;Male;84;;Economic & Management Sciences;;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;8;Only weekends;5-8;0;0;No;Yes;"Close";2024-03-07;17:18:41.0000000;8;6,5
2024/03/07 5:18:56 pm EET;Male;86;2nd Year;Economic & Management Sciences;54;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;5-8;1;5-8;2;1;Yes;Yes;"Very close";2024-03-07;17:18:56.0000000;6,5;6,5
2024/03/07 5:19:16 pm EET;Female;80;2nd Year;Science;75;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;8;1;3-5;0;1;Yes;Yes;"Very close";2024-03-07;17:19:16.0000000;8;4
2024/03/07 5:19:55 pm EET;Male;80;1st Year;Economic & Management Sciences;63;Private accommodation/ stay with family/friends;R 4001- R 5000;No;3-5;0;8;2;0;No;Yes;"Very close";2024-03-07;17:19:55.0000000;4;8
2024/03/07 5:19:56 pm EET;Male;78;2nd Year;Economic & Management Sciences;73;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;5-8;2;5-8;2;0;No;Yes;"Very close";2024-03-07;17:19:56.0000000;6,5;6,5
2024/03/07 5:20:04 pm EET;Male;73;1st Year;Economic & Management Sciences;57;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;5-8;1;8;2;3;Yes;Yes;"Close";2024-03-07;17:20:04.0000000;6,5;8
2024/03/07 5:20:31 pm EET;Male;99;2nd Year;Economic & Management Sciences;90;Private accommodation/ stay with family/friends;R 4001- R 5000;No;5-8;Only weekends;3-5;3;4;No;Yes;"Very close";2024-03-07;17:20:31.0000000;6,5;4
2024/03/07 5:20:48 pm EET;Female;82.6;2nd Year;Arts & Social Sciences;75;Private accommodation/ stay with family/friends;R 4001- R 5000;No;8;3;1-3;0;0;Yes;Yes;"Close";2024-03-07;17:20:48.0000000;8;2
2024/03/07 5:20:52 pm EET;Female;78;1st Year;Economic & Management Sciences;78;Private accommodation/ stay with family/friends;R 8000+;No;1-3;3;5-8;2;0;Yes;Yes;"Close";2024-03-07;17:20:52.0000000;2;6,5
2024/03/07 5:20:55 pm EET;Female;65;2nd Year;Economic & Management Sciences;55;Private accommodation/ stay with family/friends;R 4001- R 5000;No;3-5;1;3-5;2;4;Yes;Yes;"Very close";2024-03-07;17:20:55.0000000;4;4
2024/03/07 5:20:57 pm EET;Male;84;2nd Year;Economic & Management Sciences;70;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;1-3;1;8;4;0;Yes;Yes;"Very close";2024-03-07;17:20:57.0000000;2;8
2024/03/07 5:21:41 pm EET;Female;83;;Economic & Management Sciences;;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;1-3;Only weekends;1-3;0;0;No;Yes;"Close";2024-03-07;17:21:41.0000000;2;2
2024/03/07 5:22:13 pm EET;Female;80;;Economic & Management Sciences;;Private accommodation/ stay with family/friends;R 4001- R 5000;No;1-3;Only weekends;1-3;0;0;Yes;Yes;"Very close";2024-03-07;17:22:13.0000000;2;2
2024/03/07 5:22:34 pm EET;Female;80;;Arts & Social Sciences;;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;3-5;2;3-5;2;0;Yes;Yes;"Very close";2024-03-07;17:22:34.0000000;4;4
2024/03/07 5:22:36 pm EET;Male;81;2nd Year;Economic & Management Sciences;60;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;1-3;2;5-8;0;3;Yes;Yes;"Very close";2024-03-07;17:22:36.0000000;2;6,5
2024/03/07 5:22:40 pm EET;Male;76;1st Year;Arts & Social Sciences;61;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;3-5;1;1-3;0;0;Yes;Yes;"Very close";2024-03-07;17:22:40.0000000;4;2
2024/03/07 5:22:44 pm EET;Male;76;2nd Year;Economic & Management Sciences;63;Private accommodation/ stay with family/friends;R 4001- R 5000;No;8;0;5-8;0;0;Yes;Yes;"Close";2024-03-07;17:22:44.0000000;8;6,5
2024/03/07 5:22:59 pm EET;Female;88;1st Year;Economic & Management Sciences;60;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;1-3;1;1-3;0;1;Yes;Yes;"Very close";2024-03-07;17:22:59.0000000;2;2
2024/03/07 5:23:11 pm EET;Male;75;2nd Year;Economic & Management Sciences;57;Private accommodation/ stay with family/friends;R 8000+;No;5-8;Only weekends;1-3;1;2;No;Yes;"Close";2024-03-07;17:23:11.0000000;6,5;2
2024/03/07 5:23:15 pm EET;Male;70;;Economic & Management Sciences;;Private accommodation/ stay with family/friends;R 7001 - R 8000;No;3-5;1;3-5;0;0;No;Yes;"Close";2024-03-07;17:23:15.0000000;4;4
2024/03/07 5:24:22 pm EET;Female;70;1st Year;Economic & Management Sciences;;Non-private accommodation ie. Res;R 4001- R 5000;No;3-5;2;3-5;2;0;Yes;No;"Very close";2024-03-07;17:24:22.0000000;4;4
2024/03/07 5:24:55 pm EET;Male;84;1st Year;Science;74;Non-private accommodation ie. Res;R 4001- R 5000;No;1-3;1;1-3;0;0;No;Yes;"Close";2024-03-07;17:24:55.0000000;2;2
2024/03/07 5:25:13 pm EET;Male;98;1st Year;Engineering;89;Private accommodation/ stay with family/friends;R 4001- R 5000;Yes (NSFAS, etc...);1-3;Only weekends;8;0;4;Yes;No;"Distant";2024-03-07;17:25:13.0000000;2;8
2024/03/07 5:26:08 pm EET;Male;72;2nd Year;Arts & Social Sciences;76;Private accommodation/ stay with family/friends;R 4001- R 5000;No;1-3;1;1-3;0;0;Yes;Yes;"Close";2024-03-07;17:26:08.0000000;2;2
2024/03/07 5:26:12 pm EET;Female;84;1st Year;Medicine and Health Services;80;Non-private accommodation ie. Res;R 6001 - R 7000;No;8;Only weekends;5-8;2;0;No;Yes;"Very close";2024-03-07;17:26:12.0000000;8;6,5
2024/03/07 5:26:29 pm EET;Male;85;2nd Year;Economic & Management Sciences;66;Private accommodation/ stay with family/friends;R 4001- R 5000;Yes (NSFAS, etc...);8;1;8;4;0;Yes;Yes;"Fair";2024-03-07;17:26:29.0000000;8;8
2024/03/07 5:28:19 pm EET;Female;84;1st Year;Medicine and Health Services;80;Private accommodation/ stay with family/friends;R 4001- R 5000;No;1-3;Only weekends;3-5;0;0;No;Yes;"Very close";2024-03-07;17:28:19.0000000;2;4
2024/03/07 5:28:30 pm EET;Female;90;2nd Year;Law;70;Private accommodation/ stay with family/friends;R 5001 - R 6000;No;5-8;Only weekends;3-5;0;3;No;Yes;"Very close";2024-03-07;17:28:30.0000000;6,5;4
2024/03/07 5:30:10 pm EET;Female;72;3rd Year;Education;65;Private accommodation/ stay with family/friends;R 6001 - R 7000;No;3-5;2;5-8;0;1;No;Yes;"Very close";2024-03-07;17:30:10.0000000;4;6,5
